FG,Pos,AST,G,Player,Age,BLK,PTS,FTA,TOV,TRB,StartYr,EndYr,SalStartYr,SalEndYr,Salary,salary_cap,salary_cap_adjusted,years_of_exp,Per_salary_cap
1.2,C,1.7,81,Charles Jones,32,2.4,3.2,1.3,0.9,6.2,1989,1990,1990,1991,675000.0,9802000,19182059,0,0.0688634972454601
12.6,SG,6.3,82,Michael Jordan,26,0.7,33.6,8.5,3.0,6.9,1989,1990,1990,1991,2500000.0,9802000,19182059,0,0.2550499897980004
2.5,PF,0.3,81,Shawn Kemp,20,0.9,6.5,2.0,1.3,4.3,1989,1990,1990,1991,350000.0,9802000,19182059,0,0.03570699857172006
2.5,PG,3.2,78,Steve Kerr,24,0.1,6.7,0.9,0.9,1.3,1989,1990,1990,1991,548000.0,9802000,19182059,0,0.05590695776372169
6.3,SF,2.3,82,Jerome Kersey,27,0.8,16.0,4.8,1.8,8.4,1989,1990,1990,1991,550000.0,9802000,19182059,0,0.05611099775556009
3.7,SF,1.1,80,Randolph Keys,23,0.1,8.8,1.8,1.1,3.2,1989,1990,1990,1991,322000.0,9802000,19182059,0,0.032850438685982454
8.7,SF,4.6,82,Bernard King,33,0.1,22.4,6.3,3.0,4.9,1989,1990,1990,1991,1600000.0,9802000,19182059,0,0.16323199347072026
3.3,PF,1.1,82,Stacey King,23,0.7,8.9,3.3,1.5,4.7,1989,1990,1990,1991,1000000.0,9802000,19182059,0,0.10201999591920016
1.4,C,1.1,71,Greg Kite,28,0.7,3.2,0.8,1.1,5.3,1989,1990,1990,1991,480000.0,9802000,19182059,0,0.048969598041216075
2.2,C,0.6,81,Joe Kleine,28,0.3,5.4,1.2,0.8,4.4,1989,1990,1990,1991,850000.0,9802000,19182059,0,0.08671699653132015
1.4,C,0.4,54,Jon Koncak,26,0.6,3.7,1.5,0.9,4.2,1989,1990,1990,1991,1550000.0,9802000,19182059,0,0.15813099367476025
0.7,PF,0.4,57,Frank Kornet,23,0.1,2.0,0.7,0.4,1.2,1989,1990,1990,1991,225000.0,9802000,19182059,0,0.022954499081820037
2.7,PF,1.6,16,Larry Krystkowiak,25,0.1,7.0,2.1,1.2,4.8,1989,1990,1990,1991,605000.0,9802000,19182059,0,0.0617220975311161
4.7,C,2.1,81,Bill Laimbeer,32,1.0,12.1,2.4,1.2,9.6,1989,1990,1990,1991,1510000.0,9802000,19182059,0,0.15405019383799223
2.2,PF,1.6,67,Jerome Lane,23,0.3,5.0,1.8,1.3,5.4,1989,1990,1990,1991,500000.0,9802000,19182059,0,0.05100999795960008
1.3,C,0.3,74,Andrew Lang,23,1.8,3.5,1.3,0.6,3.7,1989,1990,1990,1991,600000.0,9802000,19182059,0,0.0612119975515201
1.6,C,0.2,77,Eric Leckner,23,0.3,4.3,1.4,0.8,2.5,1989,1990,1990,1991,485000.0,9802000,19182059,0,0.04947969802081208
0.6,C,0.0,22,Gary Leonard,22,0.4,1.5,0.6,0.4,1.2,1989,1990,1990,1991,200000.0,9802000,19182059,0,0.020403999183840033
7.2,SG,6.5,79,Fat Lever,29,0.2,18.3,4.3,2.0,9.3,1989,1990,1990,1991,1519000.0,9802000,19182059,0,0.15496837380126505
2.9,PF,1.1,75,Cliff Levingston,29,0.5,6.9,1.6,0.7,4.3,1989,1990,1990,1991,750000.0,9802000,19182059,0,0.07651499693940013
